DISTRICT_NAME|CUSTOMER_ID|SECTOR_NAME|INDUSTRY_NAME|GENDER|NATIONALITY|MARITAL_STATUS|EDU_BG|PLACE_BIRTH|SUB_CITY|TOWN_COUNTRY|OCCUPATION|CUS_SALRG|NET_MONTHLY_OUT|NO_ACCT_TYPE|NO_ACCOUNTS|CUST_DATE|CHANNEL|MB_DATE|KPI_STATUS|CARD_USER|AVG_BAL|AVG_NO_TXN_FT|AVG_NO_TXN_TT_CR|AVG_NO_TXN_TT_DB|LAST_VISIT_DATE
JIMMA DISTRICT|gAAAAABnTu6K1m83b8KiSmae3Jl9zK4CeGHXX9l38KPmt_ZIroFf-Ti3SdTDz7RpzC5FKz_ivrqi2AzzK6uKbgDu3fAPT2Z76A==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|AMEYA|AMEYA|AMEYA|PRIVATE||NOTAVALIABLEYR0|1|1|3/30/2021|USSD|1/8/2024|INACTIVE|1|961.465|1.08333333333333|0.666666666666667|0.75|11/16/2024
BAHIRDAR DISTRICT|gAAAAABnTu6KG9hOO5XvvWAk0XSu4mHdo-GrJBOA4kygDIEFPFcR9tEun09GQyMVacW4h0IT7yq3ZHPkyS_By6OUOeg3PM42UA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|<12|YIBAB|BDR|BDR|UNEMPLOYED||1000.00YR12000|1|2|2/7/2023|USSD|5/16/2024|ACTIVE|1|8701.1325|1.33333333333333|2.0|7.08333333333333|11/18/2024
EAST ADDIS DISTRICT|gAAAAABnTu6KSPEFwJI6twEEB2JuwadOzXH3hT85STDY8ofh1Fl6Ewm_9Ton6MQCWszuK_LxDwVcnAv0QEiSdGx4Yvzv8DvQ-g==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|WEGERE|N/SHOA|B/DAR|PRIVATE||3200YR38400 |3|4|10/2/2021|USSD|9/24/2022|INACTIVE|0|4901.66166666667|0.333333333333333|0.0833333333333333|2.66666666666667|11/15/2024
DIRE DEWA DISTRICT|gAAAAABnTu6K7oeNSkEIq_zjNjflrXcO2zTwbYlP7GTzPxXQqAHkxwFwe9VBgt1QMylDO7GgMn4HKZSNbkieIvfNdOey2i6uQw==|INDIVIDUAL|INDIVIDUAL|FEMALE|ET|SINGLE|Illiterate|SRS|FAFEN|JJ|STUDENT||NOTAVALIABLEYR0|2|2|12/6/2023|USSD|12/7/2023|ACTIVE|1|592.4825|5.08333333333333|0.75|0.416666666666667|9/20/2024
WEST ADDIS DISTRICT|gAAAAABnTu6KttbD7mFlatzWbi8dvQ0n5IsuXAJbx8w3DhyYeQQFdN8WSb-OknkS56C0co7TCL6-znLGjBeILCoVI6jnCqt_1Q==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|GUBIRE|GURAGE|GUBRE|FARMER||3000.00YR36000|1|2|12/17/2022|USSD|10/31/2023|ACTIVE|1|466.958333333333|5.41666666666667|2.16666666666667|0.416666666666667|11/20/2024
CENTERAL ADDIS DISTRICT|gAAAAABnTu6K-mF_tBvSlSpWlPCyug2C9-IyL2ZacOszahO7noo80NFn39iRmoF7yuInNa4mw1Wd-112EZWz173Rf8kQAfE4YQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|AA|YEKA|AA|PERSENAL|||1|2|2/20/2020|USSD|7/18/2024|ACTIVE|1|9733.425|3.58333333333333|0.333333333333333|0.166666666666667|9/21/2024
PRODUCTION-HEAD OFFICE|gAAAAABnTu6KrFSEmVPXNG3AQwGp33m3aEelZ-Z7BdXCsASrMwiMZfVd-8kchYANDwaZB95TkwJVS8xDPtj43jAGWsyxRC7PZA==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|<12|DESSIE|DESSIE|DESSIE|MERCHANT||NOTAVALIABLEYR0 |3|4|12/1/2012|USSD|11/21/2023|INACTIVE|1|5004520.33416667|12.0|5.83333333333333|1.25|11/21/2024
WEST ADDIS DISTRICT|gAAAAABnTu6KEXxcYrze5IudG8TNCpqf8FH703kMOsAcnxOXfIZ59beHyRTWHqEnDhig0BpG67Nux-7DmUXA9iIcUohkJ58Rfw==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|BUTAJIRA|GURAGE|BUTAJIRA|MERCHANT|1000-10000|2700YR32400 |1|1|4/2/2018|USSD|3/20/2024|INACTIVE|0|50.0|0.166666666666667|0.25|0.5|10/22/2024
ADAMA DISTRICT|gAAAAABnTu6Kuaa2dtf23mTQdwjWOyJzjbOxIpHsTpTVd7Ua-1fcSICq6--NyE0mychDQgwnrlI2UpBXJFjoVC53ySMmlx_VOg==|INDIVIDUAL|INDIVIDUAL|MALE|ET|SINGLE|Illiterate|ARSI|EAST SHOWA|ADAMA|SELF||NOTAVALIABLEYR0|2|2|9/19/2023|USSD|6/29/2024|ACTIVE|1|68.875|3.66666666666667|0.0833333333333333|0.0833333333333333|10/25/2024
EAST ADDIS DISTRICT|gAAAAABnTu6KeI5sO3ZSx6sU_YJp6UUPN70n8Jfu6Wu4HHgOW3JeloxpRDho5GI21IgETtcz3uKUQDay3G7Za_057FaRnti5vQ==|INDIVIDUAL|INDIVIDUAL|MALE|ET|MARRIED|>= 12|DEBREBIRHAN|GULELE|AA|PRIVATE|1000-10000|10000.00YR120000|1|2|10/29/2014|USSD|9/11/2023|ACTIVE|1|396138.790833333|21.5|0.583333333333333|1.33333333333333|11/20/2024
